,ref,Str1,Str2,Ed,Ed_Matrix,comptime
1,1512128665.41,e,l,1,"[[ 0.  1.]
 [ 1.  1.]]",0.00375509262085
2,1512128665.42,sw,yo,2,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",0.00401186943054
3,1512128665.43,tby,waq,3,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]]",0.00340390205383
4,1512128665.43,jutb,wnvx,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]]",0.00358605384827
5,1512128665.44,qzhnv,wgyal,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.]
 [ 4.  4.  4.  4.  4.  5.]
 [ 5.  5.  5.  5.  5.  5.]]",0.00359392166138
6,1512128665.45,eoosnt,dorapx,5,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  1.  2.  3.  4.  5.]
 [ 3.  3.  2.  2.  3.  4.  5.]
 [ 4.  4.  3.  3.  3.  4.  5.]
 [ 5.  5.  4.  4.  4.  4.  5.]
 [ 6.  6.  5.  5.  5.  5.  5.]]",0.00351309776306
7,1512128665.46,htvzgcw,uprnknk,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.]
 [ 6.  6.  6.  6.  6.  6.  6.  7.]
 [ 7.  7.  7.  7.  7.  7.  7.  7.]]",0.00353097915649
8,1512128665.47,pqhqczpk,shqpadyd,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  2.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  3.  2.  3.  4.  5.  6.  7.]
 [ 5.  5.  4.  3.  3.  4.  5.  6.  7.]
 [ 6.  6.  5.  4.  4.  4.  5.  6.  7.]
 [ 7.  7.  6.  5.  4.  5.  5.  6.  7.]
 [ 8.  8.  7.  6.  5.  5.  6.  6.  7.]]",0.00466108322144
9,1512128665.48,dylhginac,yutuaydaa,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  6.  7.  8.]
 [ 2.  1.  2.  3.  4.  5.  5.  6.  7.  8.]
 [ 3.  2.  2.  3.  4.  5.  6.  6.  7.  8.]
 [ 4.  3.  3.  3.  4.  5.  6.  7.  7.  8.]
 [ 5.  4.  4.  4.  4.  5.  6.  7.  8.  8.]
 [ 6.  5.  5.  5.  5.  5.  6.  7.  8.  9.]
 [ 7.  6.  6.  6.  6.  6.  6.  7.  8.  9.]
 [ 8.  7.  7.  7.  7.  6.  7.  7.  7.  8.]
 [ 9.  8.  8.  8.  8.  7.  7.  8.  8.  8.]]",0.00364708900452
